Name,Amount,District
"Matsui, Doris","$7,900",D-CA
"Moore, Barry","$7,900",R-AL
"Napolitano, Grace","$7,900",D-CA
"Pallone, Frank Jr","$7,900",D-NJ
"Pence, Greg","$7,900",R-IN
"Rouzer, David","$7,900",R-NC
"Sessions, Pete","$7,900",R-TX
"Thompson, Glenn","$7,900",R-PA
"Garcia, Cassy","$7,800",R-TX
"Peltola, Mary","$7,679",D-AK
"Lewis, Jazz","$7,500",D-MD
"Tokuda, Jill","$7,500",D-HI
"Boebert, Lauren","$7,480",R-CO
"Salas, Rudy","$7,406",D-CA
"Peters, Sam","$7,400",R-NV
"Smith, Erica","$7,357",D-NC
"Doggett, Lloyd","$7,250",D-TX
"Aadland, Erik","$7,241",R-CO
"Leavitt, Karoline","$7,200",R-NH
"Miller, Carol","$7,100",R-WV
"Cloud, Michael","$7,000",R-TX
"Mills, Cory","$7,000",R-FL
"Schmitt, Colin","$6,975",R-NY
"Chu, Judy","$6,916",D-CA
"Becker, April","$6,900",R-NV
"Fung, Allan","$6,900",R-RI
"Robertson, Mark","$6,800",R-NV
"Eshoo, Anna","$6,500",D-CA
"Gooden, Lance","$6,500",R-TX
"Meuser, Dan","$6,500",R-PA
"Taylor, Van","$6,400",R-TX
"Conole, Francis","$6,334",D-NY
"Poliquin, Bruce","$6,150",R-ME
"Finstad, Brad","$6,000",R-MN
"Thompson, Mike","$6,000",D-CA
"Larkin, Matt","$5,900",R-WA
"Patti, Tom","$5,900",R-CA
"Lafazan, Josh","$5,800",D-NY
"Dean, Madeleine","$5,600",D-PA
"Ezell, Mike","$5,500",R-MS
"McGovern, James P","$5,500",D-MA
"Pocan, Mark","$5,500",D-WI
"Rochester, Lisa Blunt","$5,400",D-DE
"Takano, Mark","$5,400",D-CA
"Smith, Adrian","$5,350",R-NE
"Garcia, Jesus","$5,250",D-IL
"Alford, Mark","$5,000",R-MO
"Brecheen, Josh","$5,000",R-OK
"Burlison, Eric","$5,000",R-MO
"Carter, John","$5,000",R-TX
"Davis, Danny K","$5,000",D-IL
"Dingell, Debbie","$5,000",D-MI
"Garamendi, John","$5,000",D-CA
"Guthrie, Brett","$5,000",R-KY
"Jackson Lee, Sheila","$5,000",D-TX
"Lawler, Mike","$5,000",R-NY
"Price, David","$5,000",D-NC
"Strahan, Jennifer","$5,000",R-GA
"Kiggans, Jen","$4,900",R-VA
"Ramirez, Ruben","$4,900",D-TX
"Erickson, Mike","$4,712",R-OR
"Nunn, Zach","$4,685",R-IA
"Connolly, Gerry","$4,600",D-VA
"Nickel, Wiley","$4,600",D-NC
"Yarmuth, John","$4,500",D-KY
"Green, Al","$4,250",D-TX
"McCollum, Betty","$4,250",D-MN
"Moore, Gwen","$4,250",D-WI
"Moulton, Seth","$4,250",D-MA
"Speier, Jackie","$4,200",D-CA
"Gilbert, Madison Gesiotto","$4,150",R-OH
"Desaulnier, Mark","$4,000",D-CA
"Roy, Chip","$4,000",R-TX
"Kind, Ron","$3,800",D-WI
"Mahmood, Asif","$3,656",D-CA
"Hines, Bo","$3,650",R-NC
"Barrett, Tom","$3,500",R-MI
"Pingree, Chellie","$3,500",D-ME
"Cooper, Kelly","$3,471",R-AZ
"Phillips, Dean","$3,375",D-MN
"Jacobs, Chris","$3,250",R-NY
"Duarte, John","$3,150",R-CA
"Cardenas, Beatrice","$3,000",R-CA
"Carson, Andre","$3,000",D-IN
"Cohen, Steve","$3,000",D-TN
"Grijalva, Raul M","$3,000",D-AZ
"Correa, Lou","$2,900",D-CA
"Palazzo, Steven","$2,900",R-MS
"Gillen, Laura","$2,750",D-NY
"Miller, Mary","$2,750",R-IL
"Gosar, Paul","$2,500",R-AZ
"Junge, Paul","$2,500",R-MI
"Landsman, Greg","$2,500",D-OH
"Lowenthal, Alan","$2,500",D-CA
"Trone, David","$2,500",D-MD
"Gray, Molly","$2,250",D-VT
"Gunby, Trish","$2,200",D-MO
"Nehls, Troy","$2,100",R-TX
"Johnson, Hank","$2,000",D-GA
"Lawrence, Brenda","$2,000",D-MI
"Luna, Anna Paulina","$2,000",R-FL
"Neumann, Cora","$2,000",D-MT
"Tranel, Monica","$2,000",D-MT
"Casar, Greg","$1,500",D-TX
"Davidson, Warren","$1,500",R-OH
"Engel, Kirsten","$1,350",D-AZ
"Bustos, Cheri","$1,000",D-IL
"Butterfield, G K","$1,000",D-NC
"Doyle, Mike","$1,000",D-PA
"Goldman, Dan","$1,000",D-NY
"Grabovsky, Angela","$1,000",R-IN
"Krebs, Shantel","$1,000",R-SD
"Kulmann, Jan","$1,000",R-CO
"Palin, Sarah","$1,000",R-AK
"Schmidt, Patrick","$1,000",D-KS
"Strickland, Tony","$1,000",R-CA
"Cawthorn, Madison",$930,R-NC
"Langevin, Jim",$750,D-RI
"Clyde, Andrew",$500,R-GA
"Crane, Eli",$500,R-AZ
"Harrison, Brian",$500,R-TX
"LaLota, Nick",$500,R-NY
"Mowers, Matt",$500,R-NH
"Young, Shuwaski",$500,D-MS
"Ciarrocchi, Guy",$250,R-PA
"Galluch, David",$250,R-PA
"Perlmutter, Ed",$-900,D-CO
"Engel, Eliot","$-1,000",D-NY
"Tipton, Scott","$-2,000",R-CO
